courses, instructor, price, rating, num_voters 
R Programming: Advanced Analytics In R For Data Science,Kirill Eremenko SuperDataScience Team,12.99,4.7,-6311
Applied Statistical Modeling for Data Analysis in R,Minerva Singh,18.99,4.1,-1075
Essential Fundamentals of R,Geoffrey Hubona Ph.D.,12.99,4.5,-172
Regression Data Mining Text Mining Forecasting using R,ExcelR Solutions,15.99,3.6,-478
Learning Path: R: Real-World Data Science Solutions with R,Packt Publishing,12.99,3.8,-10
R: Data Analysis with R - Step-by-Step Tutorial!: 3-in-1,Packt Publishing,12.99,4.4,-23
Learning Path: R: Real-World Data Mining With R,Packt Publishing,12.99,3.2,-7
Learning Path: R: Master Data Mining Techniques with R,Packt Publishing,12.99,2.9,-2
Case Studies in Data Mining with R,Geoffrey Hubona Ph.D.,12.99,4.1,-79
Data Science: Machine Learning and Statistical Modeling in R,Star Academy,12.99,4.2,-57
Learning Path: R: Complete Machine Learning & Deep Learning,Packt Publishing,12.99,3.9,-152
Text Mining and NLP using R and Python,ExcelR Solutions,12.99,3.4,-136
Decision Tree - Theory Application and Modeling using R,Gopal Prasad Malakar,12.99,3.8,-282
24h Pro data science in R,Francisco Juretig,12.99,3.6,-25
R: Complete Machine Learning Solutions,Packt Publishing,12.99,3.6,-52
Beginning Data Visualization with R and ggplot2,Packt Publishing,12.99,3.3,-2
Beginners R Programming: Data Science and Machine Learning!,Mammoth Interactive John Bura,12.99,4.1,-13
R Ultimate: Learn R for Data Science and Machine Learning,Bert Gollnick,12.99,5.0,-2
Become a master of Web Analytics Using R Tool in 4 hours,Easylearning guru,12.99,3.6,-29
R Level 1 - Data Analytics with R,R-Tutorials Training,12.99,4.4,-2186
Statistics in R - The R Language for Statistical Analysis,R-Tutorials Training,12.99,4.5,-262
Automating Data Exploration with R,Manuel Amunategui,12.99,4.4,-175
Tidy Data: Updated Data Processing With tidyr and dplyr in R,Minerva Singh,12.99,4.5,-110
R Data Pre-Processing & Data Management - Shape your Data!,R-Tutorials Training,14.99,4.2,-496
Data Mining with R: Go from Beginner to Advanced!,Geoffrey Hubona Ph.D.,12.99,4.3,-342
Practical Data Science: Reducing High Dimensional Data in R,Manuel Amunategui,12.99,4.3,-142
Learning Path: R: Master R Data Analysis and Visualization,Packt Publishing,12.99,4.2,-26
Learning Path: R: Powerful Data Analysis with R,Packt Publishing,12.99,3.9,-5
R Fundamentals,Mukund Ajmera,12.99,4.2,-9
Learning Path: R: Complete Guide to Machine Learning with R,Packt Publishing,12.99,3.8,-6
Advanced R,Francisco Juretig,12.99,4.6,-40
Basics of R,Nisha Kiran,12.99,3.7,-15
Extra Fundamentals of R,Geoffrey Hubona Ph.D.,12.99,4.5,-20
Learning R through an Example,Partha Majumdar,12.99,4.5,-16
Comprehensive Graphics Visualizations with R,Geoffrey Hubona Ph.D.,12.99,4.2,-72
Multivariate Data Visualization with R,Geoffrey Hubona Ph.D.,12.99,4.2,-31
R for Data Science: Learn Data Manipulation With R,Oak Academy,12.99,0.0,0
Mastering Data Analysis with R,Packt Publishing,12.99,3.8,-6
Regression Machine Learning with R,Diego Fernandez,12.99,3.5,-36
Quick dive into R,Hassan Sirelkhatim,12.99,3.7,-85
