courses, instructor, price, rating, num_voters 
Become a Probability & Statistics Master,Krista King,30.99,4.6,(5669)
Workshop in Probability and Statistics,George Ingersoll,12.99,4.6,(3619)
Probability and Statistics for Business and Data Science,Jose Portilla,12.99,4.4,(3471)
Introduction to Probability and Statistics,Dane McGuckian,12.99,4.6,(334)
Probability and Statistics:Psychology and Business statistic,Ermin Dedic MyDataCareer Support Team,12.99,4.3,(125)
Decision Making: Mistakes in Probability and Statistics !,Sivakami S ; MBA ; Ph.D (ongoing),12.99,4.6,(202)
Become a Probability & Statistics Master,Krista King,30.99,4.6,(5669)
Workshop in Probability and Statistics,George Ingersoll,12.99,4.6,(3619)
Introduction to Probability and Statistics,Dane McGuckian,12.99,4.6,(334)
Master Statistics & Probability 2020: Beginner-To-Advanced,Kody Amour,12.99,4.5,(169)
Introductory Probability and Statistics,Ash Narayan Sah,12.99,3.9,(10)
Probability and Statistics 1: The Complete Guide,L Sang,12.99,4.4,(26)
Mastering Probability and Statistics in Python,AI Sciences Team AI Sciences,12.99,4.6,(24)
Master the Fundamentals of Probability and Statistics,Dr Ling Meng Kay Daniel PhD,12.99,4.7,(4)
Statistics Practice: Probability and Random Variables,Shubham Kalra,12.99,4.5,(53)
The Absolute Beginners Guide to Statistics and Probability,Sai Acuity Institute of Learning Pvt Ltd Enabling Learning Through Insight!,12.99,4.2,(21)
Statistics Made Easy by Example for Analytics/ data science,Gopal Prasad Malakar,12.99,4.3,(341)
A Complete Guide to Statistics & Probability | Mathematics,LetsTute Make it Easy,12.99,4.4,(31)
Nuthin' Fancy: Math 1342 Probability and Statistics Basics,Clifton Parrish,18.99,0.0,(0)
Statistics for Data Science and Analytics,Analytics Leap Ken Yul Lee,12.99,3.9,(57)
Statistics for Data Science Data and Business Analysis,Kashif Altaf A. Zulfiqar,12.99,4.2,(84)
Master Complete Statistics For Computer Science - I,Shilank Singh,12.99,4.3,(60)
Complete A-Level Maths: Statistics in 6 Lectures,Westbound Maths,12.99,5.0,(1)
